Simulated Hour,Active Beds,Occupied Beds,Blocked Beds,Utilization Rate (%),Waiting Queue Count,Arrival Rate,Discharge Rate,Operational Cost ($/hr),Penalty Cost ($/hr),Total Cost ($/hr)
0,16,12,0,75.0,0,1,0,60,0,60
1,16,13,0,81.2,0,1,0,60,0,60
2,16,13,0,81.2,0,0,0,60,0,60
3,16,14,0,87.5,0,1,0,60,0,60
4,16,11,0,68.8,0,0,3,60,0,60
5,16,13,0,81.2,0,4,2,60,0,60
6,16,14,0,87.5,0,3,2,60,0,60
7,16,13,0,81.2,0,3,4,60,0,60
8,16,13,0,81.2,0,2,2,60,0,60
9,16,13,0,81.2,0,3,3,60,0,60
10,16,15,0,93.8,0,3,1,60,0,60
11,16,15,0,93.8,0,2,2,60,0,60
12,16,13,0,81.2,0,1,3,60,0,60
13,16,13,0,81.2,0,2,2,60,0,60
14,16,10,0,62.5,0,1,4,60,0,60
15,16,10,0,62.5,0,2,2,60,0,60
16,16,9,0,56.2,0,2,3,60,0,60
17,16,9,0,56.2,0,1,1,60,0,60
18,16,8,0,50.0,0,1,2,60,0,60
19,16,6,0,37.5,0,1,3,60,0,60
20,16,5,0,31.2,0,0,1,60,0,60
21,16,4,0,25.0,0,1,2,60,0,60
22,16,4,0,25.0,0,1,1,60,0,60
23,16,3,0,18.8,0,1,2,60,0,60
24,16,3,0,18.8,0,0,0,60,0,60
25,16,4,0,25.0,0,1,0,60,0,60
26,16,4,0,25.0,0,0,0,60,0,60
27,16,4,0,25.0,0,0,0,60,0,60
28,16,3,0,18.8,0,0,1,60,0,60
29,16,4,0,25.0,0,4,3,60,0,60
30,16,7,0,43.8,0,3,0,60,0,60
31,16,10,0,62.5,0,3,0,60,0,60
32,16,14,0,87.5,0,4,0,60,0,60
33,16,14,0,87.5,0,2,2,60,0,60
34,16,14,0,87.5,0,3,3,60,0,60
